chr	start	end	name
chr1	12143896	12144089	RUNX1ChIP_MCF10AOEq0.05_peak_87
chr1	12144401	12144548	RUNX1ChIP_MCF10AOEq0.05_peak_88
chr1	12146410	12146563	RUNX1ChIP_MCF10AOEq0.05_peak_89
chr1	12434317	12434540	RUNX1ChIP_MCF10AOEq0.05_peak_90
chr1	12475962	12476075	RUNX1ChIP_MCF10AOEq0.05_peak_91
chr1	12525586	12525681	RUNX1ChIP_MCF10AOEq0.05_peak_92
chr1	12580349	12580547	RUNX1ChIP_MCF10AOEq0.05_peak_93
chr1	12580677	12580750	RUNX1ChIP_MCF10AOEq0.05_peak_94
chr1	12596040	12596173	RUNX1ChIP_MCF10AOEq0.05_peak_95
chr1	12604442	12604582	RUNX1ChIP_MCF10AOEq0.05_peak_96
chr1	12614438	12614602	RUNX1ChIP_MCF10AOEq0.05_peak_97
chr1	12620576	12620781	RUNX1ChIP_MCF10AOEq0.05_peak_98
chr1	13455858	13456150	RUNX1ChIP_MCF10AOEq0.05_peak_99
chr1	13462143	13462254	RUNX1ChIP_MCF10AOEq0.05_peak_100
chr1	13506795	13506877	RUNX1ChIP_MCF10AOEq0.05_peak_101
chr1	13600765	13600930	RUNX1ChIP_MCF10AOEq0.05_peak_102
chr1	13651474	13651591	RUNX1ChIP_MCF10AOEq0.05_peak_103
chr1	14071643	14071849	RUNX1ChIP_MCF10AOEq0.05_peak_104
chr1	14181277	14181477	RUNX1ChIP_MCF10AOEq0.05_peak_105
chr1	14361177	14361332	RUNX1ChIP_MCF10AOEq0.05_peak_106
chr1	14486839	14486996	RUNX1ChIP_MCF10AOEq0.05_peak_107
chr1	14684245	14684512	RUNX1ChIP_MCF10AOEq0.05_peak_108
chr1	14704836	14705097	RUNX1ChIP_MCF10AOEq0.05_peak_109
chr1	14789973	14790176	RUNX1ChIP_MCF10AOEq0.05_peak_110
chr1	14793804	14794086	RUNX1ChIP_MCF10AOEq0.05_peak_111
chr1	14794206	14794349	RUNX1ChIP_MCF10AOEq0.05_peak_112
chr1	14794433	14794506	RUNX1ChIP_MCF10AOEq0.05_peak_113
chr1	14913857	14913943	RUNX1ChIP_MCF10AOEq0.05_peak_114
chr1	15016531	15016665	RUNX1ChIP_MCF10AOEq0.05_peak_115
chr1	15019947	15020268	RUNX1ChIP_MCF10AOEq0.05_peak_116
chr1	15356310	15356469	RUNX1ChIP_MCF10AOEq0.05_peak_117
chr1	15356616	15356773	RUNX1ChIP_MCF10AOEq0.05_peak_118
chr1	15411740	15411979	RUNX1ChIP_MCF10AOEq0.05_peak_119
chr1	15655437	15655646	RUNX1ChIP_MCF10AOEq0.05_peak_120
chr1	15800949	15801118	RUNX1ChIP_MCF10AOEq0.05_peak_121
chr1	15802705	15802869	RUNX1ChIP_MCF10AOEq0.05_peak_122
chr1	15820516	15820650	RUNX1ChIP_MCF10AOEq0.05_peak_123
chr1	15832251	15832354	RUNX1ChIP_MCF10AOEq0.05_peak_124
chr1	16103101	16103194	RUNX1ChIP_MCF10AOEq0.05_peak_125
chr1	16123002	16123267	RUNX1ChIP_MCF10AOEq0.05_peak_126
chr1	16123837	16124026	RUNX1ChIP_MCF10AOEq0.05_peak_127
chr1	16139720	16139864	RUNX1ChIP_MCF10AOEq0.05_peak_128
chr1	16143590	16143912	RUNX1ChIP_MCF10AOEq0.05_peak_129
chr1	16145149	16145316	RUNX1ChIP_MCF10AOEq0.05_peak_130
chr1	16151481	16151600	RUNX1ChIP_MCF10AOEq0.05_peak_131
chr1	16173651	16173880	RUNX1ChIP_MCF10AOEq0.05_peak_132
chr1	16391518	16391735	RUNX1ChIP_MCF10AOEq0.05_peak_133
chr1	16392907	16393018	RUNX1ChIP_MCF10AOEq0.05_peak_134
chr1	16396622	16396717	RUNX1ChIP_MCF10AOEq0.05_peak_135
chr1	16514056	16514207	RUNX1ChIP_MCF10AOEq0.05_peak_136
chr1	16531634	16531724	RUNX1ChIP_MCF10AOEq0.05_peak_137
chr1	16572421	16572497	RUNX1ChIP_MCF10AOEq0.05_peak_138
chr1	16612646	16612882	RUNX1ChIP_MCF10AOEq0.05_peak_139
chr1	16728446	16728719	RUNX1ChIP_MCF10AOEq0.05_peak_140
chr1	16740479	16740679	RUNX1ChIP_MCF10AOEq0.05_peak_141
chr1	16863150	16863344	RUNX1ChIP_MCF10AOEq0.05_peak_142
chr1	16895981	16896403	RUNX1ChIP_MCF10AOEq0.05_peak_143
chr1	16929418	16929780	RUNX1ChIP_MCF10AOEq0.05_peak_144
chr1	16948457	16948685	RUNX1ChIP_MCF10AOEq0.05_peak_145
chr1	16981527	16981602	RUNX1ChIP_MCF10AOEq0.05_peak_146
chr1	17013931	17014146	RUNX1ChIP_MCF10AOEq0.05_peak_147
chr1	17028870	17029041	RUNX1ChIP_MCF10AOEq0.05_peak_148
chr1	17052167	17052431	RUNX1ChIP_MCF10AOEq0.05_peak_149
chr1	17190046	17190203	RUNX1ChIP_MCF10AOEq0.05_peak_150
chr1	17212805	17212965	RUNX1ChIP_MCF10AOEq0.05_peak_151
chr1	17229566	17229690	RUNX1ChIP_MCF10AOEq0.05_peak_152
chr1	17287565	17287729	RUNX1ChIP_MCF10AOEq0.05_peak_153
chr1	17298179	17298395	RUNX1ChIP_MCF10AOEq0.05_peak_154
chr1	17314703	17315000	RUNX1ChIP_MCF10AOEq0.05_peak_155
chr1	17340459	17340643	RUNX1ChIP_MCF10AOEq0.05_peak_156
chr1	17588571	17588773	RUNX1ChIP_MCF10AOEq0.05_peak_157
chr1	17595110	17595322	RUNX1ChIP_MCF10AOEq0.05_peak_158
chr1	17943103	17943180	RUNX1ChIP_MCF10AOEq0.05_peak_159
chr1	18489879	18489952	RUNX1ChIP_MCF10AOEq0.05_peak_160
chr1	18653409	18653520	RUNX1ChIP_MCF10AOEq0.05_peak_161
chr1	19010041	19010120	RUNX1ChIP_MCF10AOEq0.05_peak_162
chr1	19011268	19011400	RUNX1ChIP_MCF10AOEq0.05_peak_163
chr1	19067469	19067543	RUNX1ChIP_MCF10AOEq0.05_peak_164
chr1	19073472	19073571	RUNX1ChIP_MCF10AOEq0.05_peak_165
chr1	19074561	19074750	RUNX1ChIP_MCF10AOEq0.05_peak_166
chr1	19606955	19607028	RUNX1ChIP_MCF10AOEq0.05_peak_167
chr1	19800304	19800416	RUNX1ChIP_MCF10AOEq0.05_peak_168
chr1	20037921	20037997	RUNX1ChIP_MCF10AOEq0.05_peak_169
chr1	20038072	20038333	RUNX1ChIP_MCF10AOEq0.05_peak_170
chr1	20047269	20047388	RUNX1ChIP_MCF10AOEq0.05_peak_171
chr1	20332972	20333247	RUNX1ChIP_MCF10AOEq0.05_peak_172
chr1	20366058	20366264	RUNX1ChIP_MCF10AOEq0.05_peak_173
chr1	20400320	20400470	RUNX1ChIP_MCF10AOEq0.05_peak_174
chr1	20400596	20400870	RUNX1ChIP_MCF10AOEq0.05_peak_175
chr1	20590341	20590529	RUNX1ChIP_MCF10AOEq0.05_peak_176
chr1	20602923	20603163	RUNX1ChIP_MCF10AOEq0.05_peak_177
chr1	20634304	20634507	RUNX1ChIP_MCF10AOEq0.05_peak_178
chr1	21222400	21222599	RUNX1ChIP_MCF10AOEq0.05_peak_179
chr1	21239113	21239430	RUNX1ChIP_MCF10AOEq0.05_peak_180
chr1	21288069	21288186	RUNX1ChIP_MCF10AOEq0.05_peak_181
chr1	21323955	21324035	RUNX1ChIP_MCF10AOEq0.05_peak_182
chr1	21324479	21324663	RUNX1ChIP_MCF10AOEq0.05_peak_183
chr1	21334297	21334539	RUNX1ChIP_MCF10AOEq0.05_peak_184
chr1	21440798	21440975	RUNX1ChIP_MCF10AOEq0.05_peak_185
chr1	21449990	21450157	RUNX1ChIP_MCF10AOEq0.05_peak_186
chr1	21768348	21768552	RUNX1ChIP_MCF10AOEq0.05_peak_187
chr1	21771842	21771978	RUNX1ChIP_MCF10AOEq0.05_peak_188
chr1	21772118	21772304	RUNX1ChIP_MCF10AOEq0.05_peak_189
chr1	21782931	21783041	RUNX1ChIP_MCF10AOEq0.05_peak_190
chr1	21787997	21788099	RUNX1ChIP_MCF10AOEq0.05_peak_191
chr1	21788339	21788453	RUNX1ChIP_MCF10AOEq0.05_peak_192
chr1	21788511	21788599	RUNX1ChIP_MCF10AOEq0.05_peak_193
chr1	21857456	21857615	RUNX1ChIP_MCF10AOEq0.05_peak_194
chr1	21904966	21905054	RUNX1ChIP_MCF10AOEq0.05_peak_195
chr1	21931143	21931307	RUNX1ChIP_MCF10AOEq0.05_peak_196
chr1	22137518	22137623	RUNX1ChIP_MCF10AOEq0.05_peak_197
chr1	22296745	22296975	RUNX1ChIP_MCF10AOEq0.05_peak_198
chr1	22398956	22399361	RUNX1ChIP_MCF10AOEq0.05_peak_199
chr1	22408451	22408579	RUNX1ChIP_MCF10AOEq0.05_peak_200
chr1	22485005	22485206	RUNX1ChIP_MCF10AOEq0.05_peak_201
chr1	22712548	22712768	RUNX1ChIP_MCF10AOEq0.05_peak_202
chr1	22808403	22808541	RUNX1ChIP_MCF10AOEq0.05_peak_203
chr1	22814609	22814804	RUNX1ChIP_MCF10AOEq0.05_peak_204
chr1	22848487	22848667	RUNX1ChIP_MCF10AOEq0.05_peak_205
chr1	22861857	22862018	RUNX1ChIP_MCF10AOEq0.05_peak_206
chr1	23100349	23100586	RUNX1ChIP_MCF10AOEq0.05_peak_207
chr1	23167502	23167920	RUNX1ChIP_MCF10AOEq0.05_peak_208
chr1	23197002	23197164	RUNX1ChIP_MCF10AOEq0.05_peak_209
chr1	23369520	23369673	RUNX1ChIP_MCF10AOEq0.05_peak_210
chr1	23452058	23452278	RUNX1ChIP_MCF10AOEq0.05_peak_211
chr1	23456278	23456510	RUNX1ChIP_MCF10AOEq0.05_peak_212
chr1	23473043	23473216	RUNX1ChIP_MCF10AOEq0.05_peak_213
chr1	23475806	23475948	RUNX1ChIP_MCF10AOEq0.05_peak_214
chr1	23477395	23477524	RUNX1ChIP_MCF10AOEq0.05_peak_215
chr1	23589025	23589153	RUNX1ChIP_MCF10AOEq0.05_peak_216
chr1	23865548	23865803	RUNX1ChIP_MCF10AOEq0.05_peak_217
chr1	23904795	23905047	RUNX1ChIP_MCF10AOEq0.05_peak_218
chr1	24003520	24003625	RUNX1ChIP_MCF10AOEq0.05_peak_219
chr1	24203523	24203748	RUNX1ChIP_MCF10AOEq0.05_peak_220
chr1	24266529	24266753	RUNX1ChIP_MCF10AOEq0.05_peak_221
chr1	24283387	24283595	RUNX1ChIP_MCF10AOEq0.05_peak_222
chr1	24299952	24300034	RUNX1ChIP_MCF10AOEq0.05_peak_223
chr1	24321743	24322064	RUNX1ChIP_MCF10AOEq0.05_peak_224
chr1	24322225	24322507	RUNX1ChIP_MCF10AOEq0.05_peak_225
chr1	24416932	24417041	RUNX1ChIP_MCF10AOEq0.05_peak_226
chr1	24641647	24641739	RUNX1ChIP_MCF10AOEq0.05_peak_227
chr1	24872653	24872882	RUNX1ChIP_MCF10AOEq0.05_peak_228
chr1	25063877	25064008	RUNX1ChIP_MCF10AOEq0.05_peak_229
chr1	25066255	25066499	RUNX1ChIP_MCF10AOEq0.05_peak_230
chr1	25081544	25081708	RUNX1ChIP_MCF10AOEq0.05_peak_231
chr1	25095734	25095900	RUNX1ChIP_MCF10AOEq0.05_peak_232
chr1	25549647	25549945	RUNX1ChIP_MCF10AOEq0.05_peak_233
chr1	25616052	25616195	RUNX1ChIP_MCF10AOEq0.05_peak_234
chr1	25730797	25731082	RUNX1ChIP_MCF10AOEq0.05_peak_235
chr1	25898203	25898475	RUNX1ChIP_MCF10AOEq0.05_peak_236
chr1	25998314	25998468	RUNX1ChIP_MCF10AOEq0.05_peak_237
chr1	26130904	26131119	RUNX1ChIP_MCF10AOEq0.05_peak_238
chr1	26181752	26181865	RUNX1ChIP_MCF10AOEq0.05_peak_239
chr1	26540520	26540664	RUNX1ChIP_MCF10AOEq0.05_peak_240
chr1	26693085	26693166	RUNX1ChIP_MCF10AOEq0.05_peak_241
chr1	26734096	26734275	RUNX1ChIP_MCF10AOEq0.05_peak_242
chr1	26787023	26787133	RUNX1ChIP_MCF10AOEq0.05_peak_243
chr1	26787303	26787601	RUNX1ChIP_MCF10AOEq0.05_peak_244
chr1	26962047	26962187	RUNX1ChIP_MCF10AOEq0.05_peak_245
chr1	26993658	26993843	RUNX1ChIP_MCF10AOEq0.05_peak_246
chr1	27126292	27126435	RUNX1ChIP_MCF10AOEq0.05_peak_247
chr1	27142131	27142210	RUNX1ChIP_MCF10AOEq0.05_peak_248
chr1	27522333	27522613	RUNX1ChIP_MCF10AOEq0.05_peak_249
chr1	27538919	27539009	RUNX1ChIP_MCF10AOEq0.05_peak_250
chr1	27595429	27595631	RUNX1ChIP_MCF10AOEq0.05_peak_251
chr1	27966937	27967053	RUNX1ChIP_MCF10AOEq0.05_peak_252
chr1	27968760	27968931	RUNX1ChIP_MCF10AOEq0.05_peak_253
chr1	28196012	28196085	RUNX1ChIP_MCF10AOEq0.05_peak_254
chr1	28197028	28197263	RUNX1ChIP_MCF10AOEq0.05_peak_255
chr1	28366064	28366151	RUNX1ChIP_MCF10AOEq0.05_peak_256
chr1	28392032	28392112	RUNX1ChIP_MCF10AOEq0.05_peak_257
chr1	28519117	28519309	RUNX1ChIP_MCF10AOEq0.05_peak_258
chr1	28535379	28535557	RUNX1ChIP_MCF10AOEq0.05_peak_259
chr1	28541077	28541191	RUNX1ChIP_MCF10AOEq0.05_peak_260
chr1	28594600	28594709	RUNX1ChIP_MCF10AOEq0.05_peak_261
chr1	28826174	28826275	RUNX1ChIP_MCF10AOEq0.05_peak_262
chr1	29239303	29239514	RUNX1ChIP_MCF10AOEq0.05_peak_263
chr1	29249261	29249411	RUNX1ChIP_MCF10AOEq0.05_peak_264
chr1	29717550	29717641	RUNX1ChIP_MCF10AOEq0.05_peak_265
chr1	29719244	29719419	RUNX1ChIP_MCF10AOEq0.05_peak_266
chr1	30043854	30043977	RUNX1ChIP_MCF10AOEq0.05_peak_267
chr1	30205602	30205699	RUNX1ChIP_MCF10AOEq0.05_peak_268
chr1	30378987	30379073	RUNX1ChIP_MCF10AOEq0.05_peak_269
chr1	30732668	30733016	RUNX1ChIP_MCF10AOEq0.05_peak_270
chr1	30756604	30757004	RUNX1ChIP_MCF10AOEq0.05_peak_271
chr1	30823267	30823572	RUNX1ChIP_MCF10AOEq0.05_peak_272
chr1	30823993	30824216	RUNX1ChIP_MCF10AOEq0.05_peak_273
chr1	30857744	30857817	RUNX1ChIP_MCF10AOEq0.05_peak_274
chr1	30869101	30869414	RUNX1ChIP_MCF10AOEq0.05_peak_275
chr1	30923721	30923874	RUNX1ChIP_MCF10AOEq0.05_peak_276
chr1	31102559	31102704	RUNX1ChIP_MCF10AOEq0.05_peak_277
chr1	31111405	31111478	RUNX1ChIP_MCF10AOEq0.05_peak_278
chr1	31299628	31299750	RUNX1ChIP_MCF10AOEq0.05_peak_279
chr1	31400628	31400831	RUNX1ChIP_MCF10AOEq0.05_peak_280
chr1	31431917	31432009	RUNX1ChIP_MCF10AOEq0.05_peak_281
chr1	31627393	31627705	RUNX1ChIP_MCF10AOEq0.05_peak_282
chr1	31628103	31628402	RUNX1ChIP_MCF10AOEq0.05_peak_283
chr1	31638459	31638570	RUNX1ChIP_MCF10AOEq0.05_peak_284
chr1	31702159	31702473	RUNX1ChIP_MCF10AOEq0.05_peak_285
chr1	31939608	31939906	RUNX1ChIP_MCF10AOEq0.05_peak_286
chr1	32014815	32014995	RUNX1ChIP_MCF10AOEq0.05_peak_287
chr1	32133623	32133734	RUNX1ChIP_MCF10AOEq0.05_peak_288
chr1	32446512	32446623	RUNX1ChIP_MCF10AOEq0.05_peak_289
chr1	32448077	32448240	RUNX1ChIP_MCF10AOEq0.05_peak_290
chr1	32525108	32525357	RUNX1ChIP_MCF10AOEq0.05_peak_291
chr1	32760263	32760369	RUNX1ChIP_MCF10AOEq0.05_peak_292
chr1	32801263	32801404	RUNX1ChIP_MCF10AOEq0.05_peak_293
chr1	32992575	32992994	RUNX1ChIP_MCF10AOEq0.05_peak_294
chr1	33049476	33049676	RUNX1ChIP_MCF10AOEq0.05_peak_295
chr1	33098461	33098701	RUNX1ChIP_MCF10AOEq0.05_peak_296
chr1	33099244	33099535	RUNX1ChIP_MCF10AOEq0.05_peak_297
chr1	33099644	33099830	RUNX1ChIP_MCF10AOEq0.05_peak_298
chr1	33137537	33137791	RUNX1ChIP_MCF10AOEq0.05_peak_299
chr1	33220742	33220947	RUNX1ChIP_MCF10AOEq0.05_peak_300
chr1	33221144	33221366	RUNX1ChIP_MCF10AOEq0.05_peak_301
chr1	33327999	33328318	RUNX1ChIP_MCF10AOEq0.05_peak_302
chr1	33338887	33339074	RUNX1ChIP_MCF10AOEq0.05_peak_303
chr1	33433954	33434079	RUNX1ChIP_MCF10AOEq0.05_peak_304
chr1	33455909	33455982	RUNX1ChIP_MCF10AOEq0.05_peak_305
chr1	34844311	34844440	RUNX1ChIP_MCF10AOEq0.05_peak_306
chr1	35076365	35076637	RUNX1ChIP_MCF10AOEq0.05_peak_307
chr1	35268632	35268802	RUNX1ChIP_MCF10AOEq0.05_peak_308
chr1	35468361	35468519	RUNX1ChIP_MCF10AOEq0.05_peak_309
chr1	36165797	36165993	RUNX1ChIP_MCF10AOEq0.05_peak_310
chr1	36353032	36353207	RUNX1ChIP_MCF10AOEq0.05_peak_311
chr1	36436872	36437069	RUNX1ChIP_MCF10AOEq0.05_peak_312
chr1	36464425	36464510	RUNX1ChIP_MCF10AOEq0.05_peak_313
chr1	36487062	36487163	RUNX1ChIP_MCF10AOEq0.05_peak_314
chr1	37461773	37461881	RUNX1ChIP_MCF10AOEq0.05_peak_315
chr1	37479730	37479874	RUNX1ChIP_MCF10AOEq0.05_peak_316
chr1	37673902	37674271	RUNX1ChIP_MCF10AOEq0.05_peak_317
chr1	37723669	37723742	RUNX1ChIP_MCF10AOEq0.05_peak_318
chr1	37795908	37795984	RUNX1ChIP_MCF10AOEq0.05_peak_319
chr1	37798082	37798171	RUNX1ChIP_MCF10AOEq0.05_peak_320
chr1	38132877	38132964	RUNX1ChIP_MCF10AOEq0.05_peak_321
chr1	38138881	38138972	RUNX1ChIP_MCF10AOEq0.05_peak_322
chr1	38198268	38198427	RUNX1ChIP_MCF10AOEq0.05_peak_323
chr1	38712218	38712444	RUNX1ChIP_MCF10AOEq0.05_peak_324
chr1	39318138	39318360	RUNX1ChIP_MCF10AOEq0.05_peak_325
chr1	39508858	39509233	RUNX1ChIP_MCF10AOEq0.05_peak_326
chr1	39509587	39509750	RUNX1ChIP_MCF10AOEq0.05_peak_327
chr1	39776456	39776565	RUNX1ChIP_MCF10AOEq0.05_peak_328
chr1	39800601	39800792	RUNX1ChIP_MCF10AOEq0.05_peak_329
chr1	39927585	39927785	RUNX1ChIP_MCF10AOEq0.05_peak_330
chr1	39934286	39934586	RUNX1ChIP_MCF10AOEq0.05_peak_331
chr1	40039923	40040068	RUNX1ChIP_MCF10AOEq0.05_peak_332
chr1	40450266	40450348	RUNX1ChIP_MCF10AOEq0.05_peak_333
chr1	40583583	40583682	RUNX1ChIP_MCF10AOEq0.05_peak_334
chr1	40881216	40881405	RUNX1ChIP_MCF10AOEq0.05_peak_335
chr1	41353840	41354065	RUNX1ChIP_MCF10AOEq0.05_peak_336
chr1	41482557	41482799	RUNX1ChIP_MCF10AOEq0.05_peak_337
chr1	41495044	41495208	RUNX1ChIP_MCF10AOEq0.05_peak_338
chr1	41504372	41504482	RUNX1ChIP_MCF10AOEq0.05_peak_339
chr1	41678369	41678878	RUNX1ChIP_MCF10AOEq0.05_peak_340
chr1	41701053	41701333	RUNX1ChIP_MCF10AOEq0.05_peak_341
chr1	41955559	41955660	RUNX1ChIP_MCF10AOEq0.05_peak_342
chr1	42161979	42162554	RUNX1ChIP_MCF10AOEq0.05_peak_343
chr1	42241491	42241795	RUNX1ChIP_MCF10AOEq0.05_peak_344
chr1	42312775	42313118	RUNX1ChIP_MCF10AOEq0.05_peak_345
chr1	42890513	42890641	RUNX1ChIP_MCF10AOEq0.05_peak_346
chr1	42936601	42936760	RUNX1ChIP_MCF10AOEq0.05_peak_347
chr1	42937310	42937388	RUNX1ChIP_MCF10AOEq0.05_peak_348
chr1	42941002	42941109	RUNX1ChIP_MCF10AOEq0.05_peak_349
chr1	43285754	43285871	RUNX1ChIP_MCF10AOEq0.05_peak_350
chr1	43360750	43360854	RUNX1ChIP_MCF10AOEq0.05_peak_351
chr1	43929684	43929879	RUNX1ChIP_MCF10AOEq0.05_peak_352
chr1	44113235	44113348	RUNX1ChIP_MCF10AOEq0.05_peak_353
chr1	44213356	44213471	RUNX1ChIP_MCF10AOEq0.05_peak_354
chr1	44628898	44628976	RUNX1ChIP_MCF10AOEq0.05_peak_355
chr1	44721726	44721865	RUNX1ChIP_MCF10AOEq0.05_peak_356
chr1	44775484	44775651	RUNX1ChIP_MCF10AOEq0.05_peak_357
chr1	44870238	44870334	RUNX1ChIP_MCF10AOEq0.05_peak_358
