# This file is generated by MACS version 2.1.2
# Command line: callpeak -t CHNM36.bam.sorted.bam -c CHNM35.bam.sorted.bam -f BAM -n RUNX1ChIP_MCF10AOEq0.05 -g hs -B -q 0.05
# ARGUMENTS LIST:
# name = RUNX1ChIP_MCF10AOEq0.05
# format = BAM
# ChIP-seq file = ['CHNM36.bam.sorted.bam']
# control file = ['CHNM35.bam.sorted.bam']
# effective genome size = 2.70e+09
# band width = 300
# model fold = [5, 50]
# qvalue cutoff = 5.00e-02
# The maximum gap between significant sites is assigned as the read length/tag size.
# The minimum length of peaks is assigned as the predicted fragment length "d".
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps
# Broad region calling is off
# Paired-End mode is off

# tag size is determined as 54 bps
# total tags in treatment: 89501295
# tags after filtering in treatment: 80338845
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.10
# total tags in control: 94686274
# tags after filtering in control: 87410774
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.08
# d = 74
# alternative fragment length(s) may be 74 bps
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
chr1	10899983	10900132	150	10900045	23.00	8.28442	3.68405	4.70045	RUNX1ChIP_MCF10AOEq0.05_peak_85
chr1	12075795	12075934	140	12075827	17.00	9.00765	4.79069	5.34601	RUNX1ChIP_MCF10AOEq0.05_peak_86
chr1	12143896	12144089	194	12144050	20.00	11.59792	5.58914	7.70115	RUNX1ChIP_MCF10AOEq0.05_peak_87
chr1	12144401	12144548	148	12144468	21.00	10.13314	4.70449	6.37735	RUNX1ChIP_MCF10AOEq0.05_peak_88
chr1	12146410	12146563	154	12146477	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_89
chr1	12434317	12434540	224	12434436	21.00	13.99968	6.64162	9.93671	RUNX1ChIP_MCF10AOEq0.05_peak_90
chr1	12475962	12476075	114	12475990	12.00	6.22087	4.06012	2.85022	RUNX1ChIP_MCF10AOEq0.05_peak_91
chr1	12525586	12525681	96	12525651	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_92
chr1	12580349	12580547	199	12580473	16.00	9.48005	5.22879	5.79735	RUNX1ChIP_MCF10AOEq0.05_peak_93
chr1	12580677	12580750	74	12580715	11.00	5.44027	3.74576	2.17258	RUNX1ChIP_MCF10AOEq0.05_peak_94
chr1	12596040	12596173	134	12596107	19.00	12.43868	6.24633	8.47994	RUNX1ChIP_MCF10AOEq0.05_peak_95
chr1	12604442	12604582	141	12604555	14.00	5.12056	3.20761	1.93011	RUNX1ChIP_MCF10AOEq0.05_peak_96
chr1	12614438	12614602	165	12614587	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_97
chr1	12620576	12620781	206	12620655	24.00	17.53878	7.80791	13.20109	RUNX1ChIP_MCF10AOEq0.05_peak_98
chr1	13455858	13456150	293	13455989	24.00	17.53878	7.80791	13.20109	RUNX1ChIP_MCF10AOEq0.05_peak_99
chr1	13462143	13462254	112	13462190	21.00	7.01510	3.37704	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_100
chr1	13506795	13506877	83	13506833	14.00	7.59262	4.52838	4.09036	RUNX1ChIP_MCF10AOEq0.05_peak_101
chr1	13600765	13600930	166	13600779	14.00	6.62566	3.99224	3.21902	RUNX1ChIP_MCF10AOEq0.05_peak_102
chr1	13651474	13651591	118	13651564	11.00	5.23207	3.62270	2.01856	RUNX1ChIP_MCF10AOEq0.05_peak_103
chr1	14071643	14071849	207	14071795	18.00	11.47793	5.93401	7.59503	RUNX1ChIP_MCF10AOEq0.05_peak_104
chr1	14181277	14181477	201	14181419	29.00	23.06420	9.36950	18.38708	RUNX1ChIP_MCF10AOEq0.05_peak_105
chr1	14361177	14361332	156	14361269	18.00	9.84950	5.05684	6.10580	RUNX1ChIP_MCF10AOEq0.05_peak_106
chr1	14486839	14486996	158	14486944	26.00	19.17403	8.15108	14.75004	RUNX1ChIP_MCF10AOEq0.05_peak_107
chr1	14684245	14684512	268	14684329	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_108
chr1	14704836	14705097	262	14704883	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_109
chr1	14789973	14790176	204	14790117	17.00	9.00765	4.79069	5.34601	RUNX1ChIP_MCF10AOEq0.05_peak_110
chr1	14793804	14794086	283	14793956	22.00	15.44289	7.18328	11.24790	RUNX1ChIP_MCF10AOEq0.05_peak_111
chr1	14794206	14794349	144	14794301	19.00	12.43868	6.24633	8.47994	RUNX1ChIP_MCF10AOEq0.05_peak_112
chr1	14794433	14794506	74	14794471	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_113
chr1	14913857	14913943	87	14913893	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_114
chr1	15016531	15016665	135	15016597	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_115
chr1	15019947	15020268	322	15020208	24.00	17.53878	7.80791	13.20109	RUNX1ChIP_MCF10AOEq0.05_peak_116
chr1	15356310	15356469	160	15356409	16.00	8.18886	4.52454	4.60940	RUNX1ChIP_MCF10AOEq0.05_peak_117
chr1	15356616	15356773	158	15356733	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_118
chr1	15411740	15411979	240	15411847	12.00	6.22087	4.06012	2.85022	RUNX1ChIP_MCF10AOEq0.05_peak_119
chr1	15655437	15655646	210	15655641	13.00	5.88422	3.72609	2.57094	RUNX1ChIP_MCF10AOEq0.05_peak_120
chr1	15800949	15801118	170	15801110	18.00	7.85153	4.06297	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_121
chr1	15802705	15802869	165	15802759	21.00	14.42207	6.87096	10.30053	RUNX1ChIP_MCF10AOEq0.05_peak_122
chr1	15820516	15820650	135	15820569	25.00	13.43812	5.55985	9.38842	RUNX1ChIP_MCF10AOEq0.05_peak_123
chr1	15832251	15832354	104	15832304	12.00	6.12976	4.00687	2.80385	RUNX1ChIP_MCF10AOEq0.05_peak_124
chr1	16103101	16103194	94	16103128	20.00	13.42037	6.55865	9.38184	RUNX1ChIP_MCF10AOEq0.05_peak_125
chr1	16123002	16123267	266	16123105	39.00	30.13665	10.01860	25.10319	RUNX1ChIP_MCF10AOEq0.05_peak_126
chr1	16123837	16124026	190	16123958	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_127
chr1	16139720	16139864	145	16139755	14.00	7.12402	4.26563	3.65580	RUNX1ChIP_MCF10AOEq0.05_peak_128
chr1	16143590	16143912	323	16143711	21.00	14.42207	6.87096	10.30053	RUNX1ChIP_MCF10AOEq0.05_peak_129
chr1	16145149	16145316	168	16145245	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_130
chr1	16151481	16151600	120	16151541	16.00	9.62361	5.30938	5.89892	RUNX1ChIP_MCF10AOEq0.05_peak_131
chr1	16173651	16173880	230	16173745	26.00	19.70236	8.43255	15.22614	RUNX1ChIP_MCF10AOEq0.05_peak_132
chr1	16391518	16391735	218	16391565	19.00	12.43868	6.24633	8.47994	RUNX1ChIP_MCF10AOEq0.05_peak_133
chr1	16392907	16393018	112	16392949	20.00	11.59792	5.58914	7.70115	RUNX1ChIP_MCF10AOEq0.05_peak_134
chr1	16396622	16396717	96	16396649	18.00	11.47793	5.93401	7.59503	RUNX1ChIP_MCF10AOEq0.05_peak_135
chr1	16514056	16514207	152	16514108	49.00	17.04067	4.15657	12.75793	RUNX1ChIP_MCF10AOEq0.05_peak_136
chr1	16531634	16531724	91	16531657	25.00	13.26899	5.48440	9.27222	RUNX1ChIP_MCF10AOEq0.05_peak_137
chr1	16572421	16572497	77	16572482	21.00	7.72096	3.65901	4.21206	RUNX1ChIP_MCF10AOEq0.05_peak_138
chr1	16612646	16612882	237	16612797	40.00	12.60167	3.69035	8.62263	RUNX1ChIP_MCF10AOEq0.05_peak_139
chr1	16728446	16728719	274	16728565	38.00	17.49803	5.24640	13.19255	RUNX1ChIP_MCF10AOEq0.05_peak_140
chr1	16740479	16740679	201	16740627	25.00	10.58059	4.35879	6.77498	RUNX1ChIP_MCF10AOEq0.05_peak_141
chr1	16863150	16863344	195	16863210	43.00	24.13643	6.75409	19.42427	RUNX1ChIP_MCF10AOEq0.05_peak_142
chr1	16895981	16896403	423	16896361	24.00	9.97945	4.23949	6.23392	RUNX1ChIP_MCF10AOEq0.05_peak_143
chr1	16929418	16929780	363	16929572	53.00	33.67084	8.28911	28.47109	RUNX1ChIP_MCF10AOEq0.05_peak_144
chr1	16948457	16948685	229	16948576	20.00	7.64856	3.73341	4.14376	RUNX1ChIP_MCF10AOEq0.05_peak_145
chr1	16981527	16981602	76	16981550	13.00	6.93008	4.31509	3.51011	RUNX1ChIP_MCF10AOEq0.05_peak_146
chr1	17013931	17014146	216	17013991	25.00	16.30398	6.91989	12.07201	RUNX1ChIP_MCF10AOEq0.05_peak_147
chr1	17028870	17029041	172	17028927	16.00	9.30690	5.13216	5.63374	RUNX1ChIP_MCF10AOEq0.05_peak_148
chr1	17052167	17052431	265	17052348	24.00	15.32761	6.65374	11.16594	RUNX1ChIP_MCF10AOEq0.05_peak_149
chr1	17190046	17190203	158	17190097	18.00	9.84950	5.05684	6.10580	RUNX1ChIP_MCF10AOEq0.05_peak_150
chr1	17212805	17212965	161	17212902	18.00	11.47793	5.93401	7.59503	RUNX1ChIP_MCF10AOEq0.05_peak_151
chr1	17229566	17229690	125	17229573	13.00	5.88422	3.72609	2.57094	RUNX1ChIP_MCF10AOEq0.05_peak_152
chr1	17287565	17287729	165	17287610	19.00	12.43868	6.24633	8.47994	RUNX1ChIP_MCF10AOEq0.05_peak_153
chr1	17298179	17298395	217	17298354	18.00	9.84950	5.05684	6.10580	RUNX1ChIP_MCF10AOEq0.05_peak_154
chr1	17314703	17315000	298	17314884	39.00	35.13223	12.49266	29.84762	RUNX1ChIP_MCF10AOEq0.05_peak_155
chr1	17340459	17340643	185	17340557	27.00	20.80799	8.74486	16.25958	RUNX1ChIP_MCF10AOEq0.05_peak_156
chr1	17588571	17588773	203	17588700	22.00	15.44289	7.18328	11.24790	RUNX1ChIP_MCF10AOEq0.05_peak_157
chr1	17595110	17595322	213	17595253	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_158
chr1	17943103	17943180	78	17943150	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_159
chr1	18489879	18489952	74	18489887	13.00	5.88422	3.72609	2.57094	RUNX1ChIP_MCF10AOEq0.05_peak_160
chr1	18653409	18653520	112	18653457	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_161
chr1	19010041	19010120	80	19010074	15.00	5.76642	3.42145	2.47326	RUNX1ChIP_MCF10AOEq0.05_peak_162
chr1	19011268	19011400	133	19011367	16.00	8.59642	4.74265	4.99539	RUNX1ChIP_MCF10AOEq0.05_peak_163
chr1	19067469	19067543	75	19067493	19.00	12.43868	6.24633	8.47994	RUNX1ChIP_MCF10AOEq0.05_peak_164
chr1	19073472	19073571	100	19073525	20.00	11.59792	5.58914	7.70115	RUNX1ChIP_MCF10AOEq0.05_peak_165
chr1	19074561	19074750	190	19074704	22.00	13.42617	6.12144	9.38184	RUNX1ChIP_MCF10AOEq0.05_peak_166
chr1	19606955	19607028	74	19606984	15.00	8.61671	4.93153	5.01241	RUNX1ChIP_MCF10AOEq0.05_peak_167
chr1	19800304	19800416	113	19800326	11.00	5.44370	3.74780	2.17258	RUNX1ChIP_MCF10AOEq0.05_peak_168
chr1	20037921	20037997	77	20037967	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_169
chr1	20038072	20038333	262	20038210	34.00	28.80257	10.85599	23.84164	RUNX1ChIP_MCF10AOEq0.05_peak_170
chr1	20047269	20047388	120	20047338	23.00	16.48204	7.49560	12.21562	RUNX1ChIP_MCF10AOEq0.05_peak_171
chr1	20332972	20333247	276	20333017	25.00	18.61243	8.12023	14.20591	RUNX1ChIP_MCF10AOEq0.05_peak_172
chr1	20366058	20366264	207	20366160	22.00	10.93279	4.91833	7.10079	RUNX1ChIP_MCF10AOEq0.05_peak_173
chr1	20400320	20400470	151	20400417	19.00	11.76906	5.88086	7.86269	RUNX1ChIP_MCF10AOEq0.05_peak_174
chr1	20400596	20400870	275	20400669	25.00	13.43812	5.55985	9.38842	RUNX1ChIP_MCF10AOEq0.05_peak_175
chr1	20590341	20590529	189	20590440	25.00	13.43812	5.55985	9.38842	RUNX1ChIP_MCF10AOEq0.05_peak_176
chr1	20602923	20603163	241	20602949	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_177
chr1	20634304	20634507	204	20634455	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_178
chr1	21222400	21222599	200	21222519	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_179
chr1	21239113	21239430	318	21239363	19.00	12.43868	6.24633	8.47994	RUNX1ChIP_MCF10AOEq0.05_peak_180
chr1	21288069	21288186	118	21288127	16.00	9.62361	5.30938	5.89892	RUNX1ChIP_MCF10AOEq0.05_peak_181
chr1	21323955	21324035	81	21324001	12.00	6.22087	4.06012	2.85022	RUNX1ChIP_MCF10AOEq0.05_peak_182
chr1	21324479	21324663	185	21324608	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_183
chr1	21334297	21334539	243	21334480	20.00	12.78283	6.21218	8.79990	RUNX1ChIP_MCF10AOEq0.05_peak_184
chr1	21440798	21440975	178	21440921	38.00	30.90919	10.67759	25.83201	RUNX1ChIP_MCF10AOEq0.05_peak_185
chr1	21449990	21450157	168	21450059	28.00	21.35801	8.75486	16.79919	RUNX1ChIP_MCF10AOEq0.05_peak_186
chr1	21768348	21768552	205	21768454	20.00	13.42037	6.55865	9.38184	RUNX1ChIP_MCF10AOEq0.05_peak_187
chr1	21771842	21771978	137	21771869	12.00	6.22087	4.06012	2.85022	RUNX1ChIP_MCF10AOEq0.05_peak_188
chr1	21772118	21772304	187	21772170	19.00	12.43868	6.24633	8.47994	RUNX1ChIP_MCF10AOEq0.05_peak_189
chr1	21782931	21783041	111	21782981	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_190
chr1	21787997	21788099	103	21788028	15.00	8.43684	4.83027	4.84516	RUNX1ChIP_MCF10AOEq0.05_peak_191
chr1	21788339	21788453	115	21788356	20.00	9.35247	4.49065	5.67275	RUNX1ChIP_MCF10AOEq0.05_peak_192
chr1	21788511	21788599	89	21788575	16.00	9.62361	5.30938	5.89892	RUNX1ChIP_MCF10AOEq0.05_peak_193
chr1	21857456	21857615	160	21857591	17.00	9.26774	4.92812	5.59773	RUNX1ChIP_MCF10AOEq0.05_peak_194
chr1	21904966	21905054	89	21905018	12.00	6.22087	4.06012	2.85022	RUNX1ChIP_MCF10AOEq0.05_peak_195
chr1	21931143	21931307	165	21931274	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_196
chr1	22137518	22137623	106	22137565	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_197
chr1	22296745	22296975	231	22296854	29.00	23.06420	9.36950	18.38708	RUNX1ChIP_MCF10AOEq0.05_peak_198
chr1	22398956	22399361	406	22399105	35.00	30.15963	11.24340	25.10319	RUNX1ChIP_MCF10AOEq0.05_peak_199
chr1	22408451	22408579	129	22408515	12.00	5.85173	3.84563	2.55313	RUNX1ChIP_MCF10AOEq0.05_peak_200
